TargetGene,Ensembl_ID
ERCC8,ENSG00000049167
NDUFAF2,ENSG00000164182
SMIM15-AS1,ENSG00000251279
SMIM15,ENSG00000188725
ZSWIM6,ENSG00000130449
KIF2A,ENSG00000068796
DIMT1,ENSG00000086189
IPO11,ENSG00000086200
IPO11-LRRC70,
LRRC70,ENSG00000186105
SREK1IP1,ENSG00000153006
CWC27,ENSG00000153015
ADAMTS6,ENSG00000049192
CENPK,ENSG00000123219
PPWD1,ENSG00000113593
TRIM23,ENSG00000113595
TRAPPC13,ENSG00000113597
SGTB,ENSG00000197860
NLN,ENSG00000123213
ERBIN,ENSG00000112851
SREK1,ENSG00000153914
MAST4,ENSG00000069020
MAST4-AS1,ENSG00000229666
PIK3R1,ENSG00000145675
SLC30A5,ENSG00000145740
CCNB1,ENSG00000134057
CENPH,ENSG00000153044
MRPS36,ENSG00000134056
CDK7,ENSG00000134058
CCDC125,ENSG00000183323
AK6,ENSG00000085231
TAF9,ENSG00000273841
RAD17,ENSG00000152942
BDP1,ENSG00000145734
MCCC2,ENSG00000131844
MAP1B,ENSG00000131711
MRPS27,ENSG00000113048
PTCD2,ENSG00000049883
TNPO1,ENSG00000083312
FCHO2,ENSG00000157107
LOC340090,
FOXD1,ENSG00000251493
BTF3,ENSG00000145741
ANKRA2,ENSG00000164331
UTP15,ENSG00000164338
ENC1,ENSG00000171617
HEXB,ENSG00000049860
NSA2,ENSG00000164346
GFM2,ENSG00000164347
ANKRD31,ENSG00000145700
HMGCR,ENSG00000113161
COL4A3BP,ENSG00000113163
POLK,ENSG00000122008
ANKDD1B,ENSG00000189045
LOC101929109,
IQGAP2,ENSG00000145703
F2RL2,ENSG00000164220
F2R,ENSG00000181104
F2RL1,ENSG00000164251
S100Z,ENSG00000171643
AGGF1,ENSG00000164252
WDR41,ENSG00000164253
TBCA,ENSG00000171530
AP3B1,ENSG00000132842
SCAMP1,ENSG00000085365
SCAMP1-AS1,ENSG00000245556
LHFPL2,ENSG00000145685
JMY,ENSG00000152409
HOMER1,ENSG00000152413
PAPD4,ENSG00000164329
CTD-2201I18.1,ENSG00000249825
SERINC5,ENSG00000164300
ZFYVE16,ENSG00000039319
FAM151B,ENSG00000152380
MSH3,ENSG00000113318
DHFR,ENSG00000228716
CKMT2,ENSG00000131730
CKMT2-AS1,ENSG00000247572
ZCCHC9,ENSG00000131732
SSBP2,ENSG00000145687
ATG10,ENSG00000152348
RPS23,ENSG00000186468
ATP6AP1L,ENSG00000205464
XRCC4,ENSG00000152422
TMEM167A,ENSG00000174695
VCAN,ENSG00000038427
COX7C,ENSG00000127184
RASA1,ENSG00000145715
CCNH,ENSG00000134480
TMEM161B,ENSG00000164180
TMEM161B-AS1,ENSG00000247828
MEF2C-AS1,ENSG00000248309
CETN3,ENSG00000153140
LOC731157,
MBLAC2,ENSG00000176055
POLR3G,ENSG00000113356
LYSMD3,ENSG00000176018
ADGRV1,ENSG00000164199
LUCAT1,ENSG00000248323
ARRDC3-AS1,ENSG00000281357
ARRDC3,ENSG00000113369
NR2F1-AS1,ENSG00000237187
NR2F1,ENSG00000175745
POU5F2,ENSG00000248483
FAM172A,ENSG00000113391
KIAA0825,ENSG00000185261
SLF1,ENSG00000133302
TTC37,ENSG00000198677
ARSK,ENSG00000164291
RFESD,ENSG00000175449
RHOBTB3,ENSG00000164292
GLRX,ENSG00000173221
LOC101929710,
ELL2,ENSG00000118985
CAST,ENSG00000153113
ERAP1,ENSG00000164307
ERAP2,ENSG00000164308
LNPEP,ENSG00000113441
LIX1,ENSG00000145721
RIOK2,ENSG00000058729
CHD1,ENSG00000153922
LOC100289230,
FAM174A,ENSG00000174132
ST8SIA4,ENSG00000113532
SLCO4C1,ENSG00000173930
GIN1,ENSG00000145723
PPIP5K2,ENSG00000145725
C5orf30,ENSG00000181751
NUDT12,ENSG00000112874
FBXL17,ENSG00000145743
LINC01023,ENSG00000272523
FER,ENSG00000151422
PJA2,ENSG00000198961
MAN2A1,ENSG00000112893
TMEM232,ENSG00000186952
SLC25A46,ENSG00000164209
WDR36,ENSG00000134987
CAMK4,ENSG00000152495
STARD4-AS1,ENSG00000246859
STARD4,ENSG00000164211
NREP,ENSG00000134986
EPB41L4A-AS1,ENSG00000224032
EPB41L4A-AS2,ENSG00000278921
LOC102467216,
APC,ENSG00000134982
SRP19,ENSG00000153037
REEP5,ENSG00000129625
DCP2,ENSG00000172795
MCC,ENSG00000171444
YTHDC2,ENSG00000047188
PGGT1B,ENSG00000164219
CCDC112,ENSG00000164221
FEM1C,ENSG00000145780
LOC101927100,
TICAM2,ENSG00000243414
TMED7-TICAM2,ENSG00000251201
TMED7,ENSG00000134970
AP3S1,ENSG00000177879
ATG12,ENSG00000145782
COMMD10,ENSG00000145781
DTWD2,ENSG00000169570
DMXL1,ENSG00000172869
TNFAIP8,ENSG00000145779
HSD17B4,ENSG00000133835
PRR16,ENSG00000184838
SRFBP1,ENSG00000151304
ZNF474,ENSG00000164185
SNCAIP,ENSG00000064692
SNX2,ENSG00000205302
SNX24,ENSG00000064652
PPIC,ENSG00000168938
CEP120,ENSG00000168944
CSNK1G3,ENSG00000151292
GRAMD3,ENSG00000155324
PHAX,ENSG00000164902
LOC102723557,
LMNB1,ENSG00000113368
MARCH3,ENSG00000173926
C5orf63,ENSG00000164241
PRRC1,ENSG00000164244
LINC01184,ENSG00000245937
SLC12A2,ENSG00000064651
SLC27A6,ENSG00000113396
ISOC1,ENSG00000066583
HINT1,ENSG00000169567
LYRM7,ENSG00000186687
CDC42SE2,ENSG00000158985
RAPGEF6,ENSG00000158987
FNIP1,ENSG00000217128
ACSL6,ENSG00000164398
P4HA2-AS1,ENSG00000237714
P4HA2,ENSG00000072682
PDLIM4,ENSG00000131435
SLC22A4,ENSG00000197208
SLC22A5,ENSG00000197375
LOC553103,ENSG00000233006
C5orf56,ENSG00000197536
IRF1,ENSG00000125347
RAD50,ENSG00000113522
IL4,ENSG00000113520
KIF3A,ENSG00000131437
SEPT8,ENSG00000164402
GDF9,ENSG00000164404
UQCRQ,ENSG00000164405
LEAP2,ENSG00000164406
AFF4,ENSG00000072364
ZCCHC10,ENSG00000155329
HSPA4,ENSG00000170606
LOC105379183,
C5orf15,ENSG00000113583
VDAC1,ENSG00000213585
TCF7,ENSG00000081059
SKP1,ENSG00000113558
PPP2CA,ENSG00000113575
CDKL3,ENSG00000006837
UBE2B,ENSG00000119048
CDKN2AIPNL,ENSG00000237190
LINC01843,ENSG00000251169
JADE2,ENSG00000043143
SAR1B,ENSG00000152700
SEC24A,ENSG00000113615
CAMLG,ENSG00000164615
DDX46,ENSG00000145833
C5orf24,ENSG00000181904
TXNDC15,ENSG00000113621
PCBD2,ENSG00000132570
C5orf66,ENSG00000224186
PITX1,ENSG00000069011
H2AFY,ENSG00000113648
SLC25A48,ENSG00000145832
SMAD5,ENSG00000113658
TRPC7,ENSG00000069018
SPOCK1,ENSG00000152377
KLHL3,ENSG00000146021
HNRNPA0,ENSG00000177733
PKD2L2,ENSG00000078795
LOC100130172,
FAM13B,ENSG00000031003
BRD8,ENSG00000112983
KIF20A,ENSG00000112984
CDC23,ENSG00000094880
GFRA3,ENSG00000146013
CDC25C,ENSG00000158402
FAM53C,ENSG00000120709
KDM3B,ENSG00000120733
REEP2,ENSG00000132563
EGR1,ENSG00000120738
ETF1,ENSG00000120705
HSPA9,ENSG00000113013
LOC105379194,
SIL1,ENSG00000120725
SNHG4,ENSG00000281398
MATR3,ENSG00000015479
PAIP2,ENSG00000120727
SLC23A1,ENSG00000170482
SPATA24,ENSG00000170469
DNAJC18,ENSG00000170464
TMEM173,ENSG00000184584
UBE2D2,ENSG00000131508
CXXC5,ENSG00000171604
PSD2-AS1,ENSG00000249131
PSD2,ENSG00000146005
NRG2,ENSG00000158458
LINC01024,ENSG00000245146
PURA,ENSG00000185129
LOC101929719,
CYSTM1,ENSG00000120306
PFDN1,ENSG00000113068
HBEGF,ENSG00000113070
ANKHD1,ENSG00000131503
ANKHD1-EIF4EBP3,ENSG00000254996
EIF4EBP3,ENSG00000243056
SRA1,ENSG00000213523
SLC35A4,ENSG00000176087
APBB3,ENSG00000113108
TMCO6,ENSG00000113119
NDUFA2,ENSG00000131495
IK,ENSG00000113141
WDR55,ENSG00000120314
DND1,ENSG00000256453
HARS2,ENSG00000112855
HARS,ENSG00000170445
ZMAT2,ENSG00000146007
PCDHA5,ENSG00000204965
PCDHA8,ENSG00000204962
PCDHB2,ENSG00000112852
PCDHB3,ENSG00000113205
PCDHB5,ENSG00000113209
PCDHB7,ENSG00000113212
PCDHB9,ENSG00000177839
PCDHB10,ENSG00000120324
PCDHB15,ENSG00000113248
TAF7,ENSG00000178913
PCDHGA1,ENSG00000204956
PCDHGA2,ENSG00000081853
PCDHGA3,ENSG00000254245
PCDHGB1,ENSG00000254221
PCDHGB2,ENSG00000253910
PCDHGB3,ENSG00000262209
PCDHGA6,ENSG00000253731
PCDHGA7,ENSG00000253537
PCDHGA9,ENSG00000261934
PCDHGA10,ENSG00000253846
PCDHGB7,ENSG00000254122
PCDHGA11,ENSG00000253873
PCDHGA12,ENSG00000253159
PCDHGC4,ENSG00000242419
LOC100505658,
DIAPH1,ENSG00000131504
HDAC3,ENSG00000171720
RELL2,ENSG00000164620
FCHSD1,ENSG00000197948
ARAP3,ENSG00000120318
PCDH1,ENSG00000156453
KIAA0141,ENSG00000081791
RNF14,ENSG00000013561
GNPDA1,ENSG00000113552
NDFIP1,ENSG00000131507
SPRY4,ENSG00000187678
LOC101926941,
ARHGAP26,ENSG00000145819
NR3C1,ENSG00000113580
YIPF5,ENSG00000145817
KCTD16,ENSG00000183775
PRELID2,ENSG00000186314
SH3RF2,ENSG00000156463
LARS,ENSG00000133706
RBM27,ENSG00000091009
TCERG1,ENSG00000113649
GPR151,ENSG00000173250
DPYSL3,ENSG00000113657
LOC102546294,
FBXO38,ENSG00000145868
ADRB2,ENSG00000169252
SH3TC2,ENSG00000169247
LOC255187,
ABLIM3,ENSG00000173210
GRPEL2,ENSG00000164284
GRPEL2-AS1,ENSG00000253618
PCYOX1L,ENSG00000145882
CSNK1A1,ENSG00000113712
PPARGC1B,ENSG00000155846
PDE6A,ENSG00000132915
SLC26A2,ENSG00000155850
HMGXB3,ENSG00000113716
TIGD6,ENSG00000164296
CSF1R,ENSG00000182578
PDGFRB,ENSG00000113721
CAMK2A,ENSG00000070808
TCOF1,ENSG00000070814
CD74,ENSG00000019582
RPS14,ENSG00000164587
NDST1-AS1,ENSG00000254333
SYNPO,ENSG00000171992
RBM22,ENSG00000086589
DCTN4,ENSG00000132912
SMIM3,ENSG00000256235
ZNF300,ENSG00000145908
ZNF300P1,ENSG00000197083
TNIP1,ENSG00000145901
ANXA6,ENSG00000197043
CCDC69,ENSG00000198624
GM2A,ENSG00000196743
SLC36A1,ENSG00000123643
SPARC,ENSG00000113140
ATOX1,ENSG00000177556
G3BP1,ENSG00000145907
LOC100652758,
GLRA1,ENSG00000145888
FAM114A2,ENSG00000055147
MFAP3,ENSG00000037749
GALNT10,ENSG00000164574
SAP30L-AS1,ENSG00000245275
SAP30L,ENSG00000164576
FAXDC2,ENSG00000170271
CNOT8,ENSG00000155508
GEMIN5,ENSG00000082516
MRPL22,ENSG00000082515
MED7,ENSG00000155868
CYFIP2,ENSG00000055163
ADAM19,ENSG00000135074
THG1L,ENSG00000113272
LSM11,ENSG00000155858
CLINT1,ENSG00000113282
EBF1,ENSG00000164330
LINC02202,ENSG00000245812
RNF145,ENSG00000145860
UBLCP1,ENSG00000164332
LOC285626,
ADRA1B,ENSG00000170214
TTC1,ENSG00000113312
PWWP2A,ENSG00000170234
ZBED8,ENSG00000221886
SLU7,ENSG00000164609
PTTG1,ENSG00000164611
CCNG1,ENSG00000113328
NUDCD2,ENSG00000170584
HMMR,ENSG00000072571
MAT2B,ENSG00000038274
RARS,ENSG00000113643
PANK3,ENSG00000120137
LOC101927969,
SPDL1,ENSG00000040275
DOCK2,ENSG00000134516
FAM196B,ENSG00000204767
C5orf58,ENSG00000234511
LCP2,ENSG00000043462
LINC01366,ENSG00000235172
NPM1,ENSG00000181163
FGF18,ENSG00000156427
FBXW11,ENSG00000072803
STK10,ENSG00000072786
UBTD2,ENSG00000168246
SH3PXD2B,ENSG00000174705
NEURL1B,ENSG00000214357
DUSP1,ENSG00000120129
ERGIC1,ENSG00000113719
LOC100268168,
RPL26L1,ENSG00000037241
ATP6V0E1,ENSG00000113732
CREBRF,ENSG00000164463
BNIP1,ENSG00000113734
STC2,ENSG00000113739
BOD1,ENSG00000145919
LINC01484,ENSG00000253686
CPEB4,ENSG00000113742
HMP19,ENSG00000170091
SFXN1,ENSG00000164466
CPLX2,ENSG00000145920
THOC3,ENSG00000051596
KIAA1191,ENSG00000122203
HIGD2A,ENSG00000146066
NOP16,ENSG00000048162
CLTB,ENSG00000175416
FAF2,ENSG00000113194
RNF44,ENSG00000146083
GPRIN1,ENSG00000169258
SNCB,ENSG00000074317
EIF4E1B,ENSG00000175766
TSPAN17,ENSG00000048140
UNC5A,ENSG00000113763
UIMC1,ENSG00000087206
ZNF346,ENSG00000113761
FGFR4,ENSG00000160867
NSD1,ENSG00000165671
RAB24,ENSG00000169228
PRELID1,ENSG00000169230
MXD3,ENSG00000213347
LMAN2,ENSG00000169223
RGS14,ENSG00000169220
GRK6,ENSG00000198055
PRR7,ENSG00000131188
PRR7-AS1,ENSG00000246334
DBN1,ENSG00000113758
PDLIM7,ENSG00000196923
DOK3,ENSG00000146094
DDX41,ENSG00000183258
FAM193B,ENSG00000146067
TMED9,ENSG00000184840
B4GALT7,ENSG00000027847
LOC202181,
N4BP3,ENSG00000145911
RMND5B,ENSG00000145916
NHP2,ENSG00000145912
HNRNPAB,ENSG00000197451
PHYKPL,ENSG00000175309
COL23A1,ENSG00000050767
CLK4,ENSG00000113240
ZNF354A,ENSG00000169131
ZNF354B,ENSG00000178338
ZNF879,ENSG00000234284
ADAMTS2,ENSG00000087116
RUFY1,ENSG00000176783
HNRNPH1,ENSG00000169045
CBY3,ENSG00000204659
CANX,ENSG00000127022
MAML1,ENSG00000161021
MGAT4B,ENSG00000161013
SQSTM1,ENSG00000161011
MRNIP,ENSG00000161010
LOC100996419,
TBC1D9B,ENSG00000197226
RNF130,ENSG00000113269
RASGEF1C,ENSG00000146090
MAPK9,ENSG00000050748
GFPT2,ENSG00000131459
CNOT6,ENSG00000113300
FLT4,ENSG00000037280
MGAT1,ENSG00000131446
LINC00847,ENSG00000245060
HEIH,ENSG00000278970
ZFP62,ENSG00000196670
LINC01962,ENSG00000248473
TRIM7,ENSG00000146054
TRIM41,ENSG00000146063
RACK1,ENSG00000204628
CTC-338M12.4,ENSG00000233937
TRIM52,ENSG00000183718
TRIM52-AS1,ENSG00000248275
LINC00350,ENSG00000225316
MPHOSPH8,ENSG00000196199
PSPC1,ENSG00000121390
ZMYM5,ENSG00000132950
ZMYM2,ENSG00000121741
GJA3,ENSG00000121743
CRYL1,ENSG00000165475
IFT88,ENSG00000032742
IL17D,ENSG00000172458
EEF1AKMT1,ENSG00000150456
XPO4,ENSG00000132953
LATS2,ENSG00000150457
SAP18,ENSG00000150459
MRPL57,ENSG00000173141
SKA3,ENSG00000165480
MIPEPP3,ENSG00000233325
ZDHHC20,ENSG00000180776
MICU2,ENSG00000165487
FGF9,ENSG00000102678
TNFRSF19,ENSG00000127863
PCOTH,ENSG00000205861
MIPEP,ENSG00000027001
PARP4,ENSG00000102699
CENPJ,ENSG00000151849
MTMR6,ENSG00000139505
NUP58,ENSG00000139496
ATP8A2,ENSG00000132932
RNF6,ENSG00000127870
CDK8,ENSG00000132964
WASF3,ENSG00000132970
USP12-AS1,ENSG00000232162
USP12,ENSG00000152484
USP12-AS2,ENSG00000230641
RPL21,ENSG00000122026
RPL21P28,ENSG00000220749
RASL11A,ENSG00000122035
GTF3A,ENSG00000122034
MTIF3,ENSG00000122033
LNX2,ENSG00000139517
POLR1D,ENSG00000186184
LINC00543,ENSG00000260704
PAN3,ENSG00000152520
PAN3-AS1,ENSG00000261485
POMP,ENSG00000132963
SLC46A3,ENSG00000139508
SLC7A1,ENSG00000139514
UBL3,ENSG00000122042
KATNAL1,ENSG00000102781
LINC00426,ENSG00000238121
LINC01058,ENSG00000225039
HMGB1,ENSG00000189403
USPL1,ENSG00000132952
LINC00398,ENSG00000237879
HSPH1,ENSG00000120694
B3GLCT,ENSG00000187676
EEF1DP3,ENSG00000229715
BRCA2,ENSG00000139618
N4BP2L2,ENSG00000244754
PDS5B,ENSG00000083642
LINC00423,ENSG00000226968
RFC3,ENSG00000133119
NBEA,ENSG00000172915
SOHLH2,ENSG00000120669
CCDC169-SOHLH2,ENSG00000250709
CCDC169,ENSG00000242715
SPG20-AS1,ENSG00000120664
SPG20,ENSG00000133104
CCNA1,ENSG00000133101
RFXAP,ENSG00000133111
SMAD9,ENSG00000120693
ALG5,ENSG00000120697
EXOSC8,ENSG00000120699
SUPT20H,ENSG00000102710
TRPC4,ENSG00000133107
UFM1,ENSG00000120686
PROSER1,ENSG00000120685
NHLRC3,ENSG00000188811
COG6,ENSG00000133103
FOXO1,ENSG00000150907
MRPS31,ENSG00000102738
SLC25A15,ENSG00000102743
TPTE2P5,ENSG00000168852
SUGT1P3,ENSG00000239827
ELF1,ENSG00000120690
WBP4,ENSG00000120688
KBTBD6,ENSG00000165572
LOC101929140,
KBTBD7,ENSG00000120696
MTRF1,ENSG00000120662
NAA16,ENSG00000172766
RGCC,ENSG00000102760
VWA8,ENSG00000102763
VWA8-AS1,ENSG00000278338
AKAP11,ENSG00000023516
EPSTI1,ENSG00000133106
SMIM2-AS1,ENSG00000227258
TSC22D1,ENSG00000102804
NUFIP1,ENSG00000083635
GPALPP1,ENSG00000133114
GTF2F2,ENSG00000188342
TPT1,ENSG00000133112
TPT1-AS1,ENSG00000170919
SLC25A30-AS1,ENSG00000251015
SLC25A30,ENSG00000174032
COG3,ENSG00000136152
ZC3H13,ENSG00000123200
CPB2-AS1,ENSG00000235903
LCP1,ENSG00000136167
LRRC63,ENSG00000173988
LRCH1,ENSG00000136141
ESD,ENSG00000139684
SUCLA2,ENSG00000136143
NUDT15,ENSG00000136159
MED4,ENSG00000136146
ITM2B,ENSG00000136156
LINC00441,ENSG00000231473
RB1,ENSG00000139687
RCBTB2,ENSG00000136161
LINC00462,ENSG00000233610
FNDC3A,ENSG00000102531
MLNR,ENSG00000102539
LOC105370203,
CDADC1,ENSG00000102543
CAB39L,ENSG00000102547
SETDB2,ENSG00000136169
SETDB2-PHF11,
PHF11,ENSG00000136147
RCBTB1,ENSG00000136144
ARL11,ENSG00000152213
EBPL,ENSG00000123179
KPNA3,ENSG00000102753
SPRYD7,ENSG00000123178
TRIM13,ENSG00000204977
KCNRG,ENSG00000198553
DLEU1,ENSG00000176124
DLEU2,ENSG00000231607
RNASEH2B,ENSG00000136104
RNASEH2B-AS1,ENSG00000233672
FAM124A,ENSG00000150510
INTS6,ENSG00000102786
INTS6-AS1,ENSG00000236778
WDFY2,ENSG00000139668
DHRS12,ENSG00000102796
LINC00282,ENSG00000281106
CCDC70,ENSG00000123171
ATP7B,ENSG00000123191
ALG11,ENSG00000253710
LOC101929657,
NEK5,ENSG00000197168
NEK3,ENSG00000136098
MRPS31P5,ENSG00000243406
VPS36,ENSG00000136100
CKAP2,ENSG00000136108
HNRNPA1L2,ENSG00000139675
SUGT1,ENSG00000165416
LINC01065,ENSG00000237092
DIAPH3,ENSG00000139734
LINC00434,ENSG00000227336
TDRD3,ENSG00000083544
LINC00355,ENSG00000227674
PCDH9,ENSG00000184226
LINC00383,ENSG00000235221
DACH1,ENSG00000276644
BORA,ENSG00000136122
MZT1,ENSG00000204899
PIBF1,ENSG00000083535
DIS3,ENSG00000083520
KLF5,ENSG00000102554
KLF12,ENSG00000118922
TBC1D4,ENSG00000136111
COMMD6,ENSG00000188243
UCHL3,ENSG00000118939
LMO7-AS1,ENSG00000261105
LMO7DN-IT1,ENSG00000223458
KCTD12,ENSG00000178695
CLN5,ENSG00000102805
FBXL3,ENSG00000005812
MYCBP2,ENSG00000005810
POU4F1,ENSG00000152192
RNF219,ENSG00000152193
RBM26,ENSG00000139746
RBM26-AS1,ENSG00000227354
NDFIP2,ENSG00000102471
NDFIP2-AS1,ENSG00000232132
SPRY2,ENSG00000136158
LINC01049,ENSG00000234384
MIR17HG,ENSG00000215417
GPC5,ENSG00000179399
GPC6,ENSG00000183098
DCT,ENSG00000080166
TGDS,ENSG00000088451
GPR180,ENSG00000152749
SOX21-AS1,ENSG00000227640
ABCC4,ENSG00000125257
DNAJC3-AS1,ENSG00000247400
DNAJC3,ENSG00000102580
UGGT2,ENSG00000102595
LINC00359,
MBNL2,ENSG00000139793
RAP2A,ENSG00000125249
FARP1,ENSG00000152767
STK24,ENSG00000102572
DOCK9,ENSG00000088387
DOCK9-AS2,ENSG00000260992
UBAC2-AS1,ENSG00000228889
UBAC2,ENSG00000134882
GPR183,ENSG00000169508
LINC01232,ENSG00000280734
LINC00449,ENSG00000203441
TM9SF2,ENSG00000125304
CLYBL,ENSG00000125246
ZIC5,ENSG00000139800
ZIC2,ENSG00000043355
LOC105370333,
PCCA,ENSG00000175198
TMTC4,ENSG00000125247
FGF14-IT1,ENSG00000243319
FGF14-AS2,ENSG00000272143
TPP2,ENSG00000134900
TEX30,ENSG00000151287
BIVM,ENSG00000134897
KDELC1,ENSG00000134901
ERCC5,ENSG00000134899
EFNB2,ENSG00000125266
ARGLU1,ENSG00000134884
FAM155A,ENSG00000204442
LIG4,ENSG00000174405
ABHD13,ENSG00000139826
TNFSF13B,ENSG00000102524
MYO16,ENSG00000041515
IRS2,ENSG00000185950
COL4A2-AS1,ENSG00000232814
RAB20,ENSG00000139832
NAXD,ENSG00000213995
CARS2,ENSG00000134905
ING1,ENSG00000153487
LINC00346,ENSG00000255874
ANKRD10,ENSG00000088448
LINC00431,ENSG00000225760
ARHGEF7,ENSG00000102606
LOC101060553,
TUBGCP3,ENSG00000126216
ATP11A,ENSG00000068650
F10,ENSG00000126218
CUL4A,ENSG00000139842
PCID2,ENSG00000126226
LAMP1,ENSG00000185896
GRTP1,ENSG00000139835
DCUN1D2,ENSG00000150401
TMCO3,ENSG00000150403
TFDP1,ENSG00000198176
TMEM255B,ENSG00000184497
GAS6-AS1,ENSG00000233695
GAS6,ENSG00000183087
GAS6-AS2,ENSG00000272695
RASA3,ENSG00000185989
CDC16,ENSG00000130177
UPF3A,ENSG00000169062
CHAMP1,ENSG00000198824
LOC100288069,
LINC00115,ENSG00000225880
LINC01128,ENSG00000228794
LOC100130417,
SAMD11,ENSG00000187634
NOC2L,ENSG00000188976
KLHL17,ENSG00000187961
PLEKHN1,ENSG00000187583
PERM1,ENSG00000187642
HES4,ENSG00000188290
ISG15,ENSG00000187608
AGRN,ENSG00000188157
RNF223,ENSG00000237330
C1orf159,ENSG00000131591
LINC01342,ENSG00000223823
TTLL10,ENSG00000162571
TNFRSF18,ENSG00000186891
TNFRSF4,ENSG00000186827
SDF4,ENSG00000078808
B3GALT6,ENSG00000176022
UBE2J2,ENSG00000160087
ACAP3,ENSG00000131584
PUSL1,ENSG00000169972
INTS11,ENSG00000127054
CPTP,ENSG00000224051
TAS1R3,ENSG00000169962
DVL1,ENSG00000107404
